# Relation	TotalCount	Percentage(%)	Train	Dev	Test
no_relation	84491	79.51	55112	17195	12184
org:alternate_names	1359	1.28	808	338	213
org:city_of_headquarters	573	0.54	382	109	82
org:country_of_headquarters	753	0.71	468	177	108
org:dissolved	33	0.03	23	8	2
org:founded	166	0.16	91	38	37
org:founded_by	268	0.25	124	76	68
org:member_of	171	0.16	122	31	18
org:members	286	0.27	170	85	31
org:number_of_employees/members	121	0.11	75	27	19
org:parents	444	0.42	286	96	62
org:political/religious_affiliation	125	0.12	105	10	10
org:shareholders	144	0.14	76	55	13
org:stateorprovince_of_headquarters	350	0.33	229	70	51
org:subsidiaries	453	0.43	296	113	44
org:top_members/employees	2770	2.61	1890	534	346
org:website	223	0.21	111	86	26
per:age	833	0.78	390	243	200
per:alternate_names	153	0.14	104	38	11
per:cause_of_death	337	0.32	117	168	52
per:charges	280	0.26	72	105	103
per:children	347	0.33	211	99	37
per:cities_of_residence	742	0.70	374	179	189
per:city_of_birth	103	0.10	65	33	5
per:city_of_death	227	0.21	81	118	28
per:countries_of_residence	819	0.77	445	226	148
per:country_of_birth	53	0.05	28	20	5
per:country_of_death	61	0.06	6	46	9
per:date_of_birth	103	0.10	63	31	9
per:date_of_death	394	0.37	134	206	54
per:employee_of	2163	2.04	1524	375	264
per:origin	667	0.63	325	210	132
per:other_family	319	0.30	179	80	60
per:parents	296	0.28	152	56	88
per:religion	153	0.14	53	53	47
per:schools_attended	229	0.22	149	50	30
per:siblings	250	0.24	165	30	55
per:spouse	483	0.45	258	159	66
per:stateorprovince_of_birth	72	0.07	38	26	8
per:stateorprovince_of_death	104	0.10	49	41	14
per:stateorprovinces_of_residence	484	0.46	331	72	81
per:title	3862	3.63	2443	919	500
Total	106264	100.00	68124	22631	15509
